FID,Long_deg_NAD83,Lat_deg_NAD83,Location,State,Deposit_type,Map_unit,Ref_source,Comments
417,-111.8254368,42.8040246,Little Flat Canyon,ID,Travertine,Fluvial and lake sediment (Quaternary),"Feth and Barnes, 1979
Mansfield, 1929","Digitized location based on review of Google Earth imagery and topographic map. Area mapped as fluvial and lake sediment (Lewis and others, 2012) supports travertine."
418,-115.7712006,38.55586556,Lockes Hot Springs,NV,Travertine,Qt,Waring_1965; Ayling_2020, 
419,-115.772733,38.564423,Lockes Hot Springs,NV,Travertine,Qt,Ayling_2020, Large travertine apron mapped from imagery
420,-118.4079666,40.16288249,Lovelock area,NV,Tufa,Qtm,Faulds_2020,8 m high tufa mound-one of 6 mounds in area
421,-118.719388,41.0510804,MacFarlane Hot Springs,NV,Travertine,Qt,Sibbett et al_1982;Swanberg and Bowers_1982;,"Faulds: Travertine-calcite vein--N83E, 81N, hot springs present"
422,-118.7187184,41.05097697,MacFarlane Hot Springs,NV,Travertine,Qt,"Kraushaar and Cashman, 2013; Faulds_2020","Travertine-calcite fissure ridge; veining trending N83E, 81N, hot spring present"
423,-118.7159162,41.05120789,MacFarlane Hot Springs,NV,Travertine,Qt,Faulds_2020,Smaller travertine vein to NE of main body at 11-332
424,-112.2404001,42.1730024,Malad Warm Spring,ID,Travertine,Lake Bonneville deposits (Pleistocene),"Ralston and Mayo, 1983
Young and Mitchell, 1973",IGS mapped spring. Digitized travertine ? in vicinity of mapped spring.
425,-111.7073424,42.30829653,Maple Grove Hot Spring,ID,Tufa,Windermere Supergroup (Cambrian and Neoproterozoic),"Ralston and Mayo, 1983",IGS mapped spring. Tufa deposit unclear based on aerial photography review. Digitized vicinity around spring.
426,-115.2864043,41.19205597,Mary's River spring,NV,Silica-cemented sand,Qss,Rhodes_2021,Silica-cemented fan deposits + sinter + active warm springs.
427,-117.4999789,39.86958073,McCoy Mecury Mine (Antelope Valley),NV,Travertine,Qt,Olson et al_1979, 
428,-118.8629643,41.80924549,McGee Mtn,NV,Alteration, ,"Coolbaugh, 2022-Mar-26","Steam-heated argillic alteration, 2-meter temp anomaly present"
429,-118.8630197,41.80691205,McGee Mtn,NV,Alteration, ,"Coolbaugh, 2022-Mar-26","Steam-heated argillic alteration, 2-meter temp anomaly present"
430,-118.8614461,41.80788512,McGee Mt-Painted Hill Mine,NV,Silica-cemented sand,Qss,Faulds_2020,Hot wells in area with reported steam and warm water
431,-116.9048388,39.59934074,McGinness Hills,NV,Sinter,Qssi,Coolbaugh et al_2006; Stewart&McKee_1968; Casaceli et al_1986; Fournier_1977, 
432,-112.4979777,38.86187271,Meadow Hot Springs,UT,Travertine,Qst,"Lehi F. Hintze, 2008, Geologic map of the Richfield 30' x 60' quadrangle, southeast Millard County and parts of Beaver, Piute, and Sevier Counties, Utah. M-195dm. UGS. 1:100,000 scale.",Travertine cemented alluvium and lacustrine deposits large active spring pools
433,-118.348129,42.67874417,Mickey Hot Spring,OR,Sinter,Qssi,Faulds_2020,"3-4 m high, 25 m wide sinter mound"
434,-119.17323,37.535839,Middle Fork San Joaquin River,CA,Travertine,Qt,"Feth and Barnes, 1979; Waring,1915","Location not field validated. Madera, Sec. 6, T. 5 S., R. 26 E. (proj.), Unknown, Several iron-stained travertine deposits occur on north side Middle Fork San Joaquin River"
435,-111.4679043,40.5246817,Midway Hot Springs,UT,Travertine,Qst,"Robert F. Biek, 2019, Interim Geologic Map of the Heber City Quadrangle, Summit and Wasatch Counties, Utah. OFR-712dm. UGS. 1:24,000 scale.",Travertine dome associated with greater Midway Hot Springs system
436,-111.4759234,40.51820229,Midway Hot Springs,UT,Travertine,Qst,"Robert F. Biek, 2019, Interim Geologic Map of the Heber City Quadrangle, Summit and Wasatch Counties, Utah. OFR-712dm. UGS. 1:24,000 scale.",Travertine dome associated with greater Midway Hot Springs system
437,-111.4783419,40.53137366,Midway Hot Springs,UT,Travertine,Qafo/Qst,"Robert F. Biek, 2019, Interim Geologic Map of the Heber City Quadrangle, Summit and Wasatch Counties, Utah. OFR-712dm. UGS. 1:24,000 scale.",Travertine cemented alluvium related to Midway Hot Springs system
438,-111.4863312,40.52155151,Midway Hot Springs,UT,Travertine,Qafo/Qst,"Robert F. Biek, 2019, Interim Geologic Map of the Heber City Quadrangle, Summit and Wasatch Counties, Utah. OFR-712dm. UGS. 1:24,000 scale.",Travertine cemented alluvium related to Midway Hot Springs system
439,-111.482771,40.53458439,Midway Hot Springs,UT,Travertine,Qst,"Robert F. Biek, 2019, Interim Geologic Map of the Heber City Quadrangle, Summit and Wasatch Counties, Utah. OFR-712dm. UGS. 1:24,000 scale.",Travertine dome associated with greater Midway Hot Springs system
440,-119.144771,38.013045,Mono Lake,CA,Tufa,Qtm,"Feth and Barnes, 1979; Dunn, 1953","Location not field validated. Mono, Tps. 1-2 N., R. 26 E., Active, Many towers and mushroom-shaped masses of travertine are along west and north shores of Mono Lake. Sublacustrine masses surround active springs"
441,-112.1070724,38.63418325,Monroe Hot Springs,UT,Travertine,Qst,"Lehi F. Hintze, 2008, Geologic map of the Richfield 30' x 60' quadrangle, southeast Millard County and parts of Beaver, Piute, and Sevier Counties, Utah. M-195dm. UGS. 1:100,000 scale.",Travertine mound associated with active hot spring
442,-112.1070592,38.63087458,Monroe Hot Springs,UT,Travertine,Qst,"Lehi F. Hintze, 2008, Geologic map of the Richfield 30' x 60' quadrangle, southeast Millard County and parts of Beaver, Piute, and Sevier Counties, Utah. M-195dm. UGS. 1:100,000 scale.",Travertine mound associated with active hot spring
443,-114.8074182,39.66792153,Monte Neva Hot Springs,NV,Travertine,Qt,Clark et al_1920; Mifflin_1968; Stearns et al_1937; Hose&Taylor_1974, 
444,-115.1811289,38.35171609,Moon River Warm Spring,NV,Travertine,Qt,Faulds_2020,Travertine 1-2 m thick common on alluvial surfaces in area
445,-117.0638423,40.31451324,Mound Springs,NV,Travertine,Qt,Faulds_2020,Broad area of travertine but no sinter
446,-117.0706661,40.31222093,Mound Springs,NV,Travertine,Qt,Faulds_2020,Travertine mound at fault intersection
447,-111.726835,42.37350659,Mound Valley Warm Spring,ID,Travertine,Fluvial and lake sediment (Quaternary),"Ralston and Mayo, 1983","IGS mapped spring location 'Mound Valley Warm Springs' plots in Section 15. 
Digitized vicinity in Sections 13 and 24 based on Ralston and others (1983) description."
448,-121.4986292,40.45690788,"Mt. Lassen, Bumpass Hell",CA,Alteration, ,"Coolbaugh, 2022-Mar-26",Argillic alteration related to Bumpass Hell
449,-119.3793694,40.65388103,Mud Springs (Gerlach geothermal system),NV,Silica-cemented sand,Qss,Coolbaugh_June2020,Opal-replaced vegetative matter around thermal springs
450,-117.4607344,44.02294845,Neal Hot Springs,OR,Sinter,Qssi,Faulds_2020,Opaline sinter terrace
451,-117.4636268,44.02439725,Neal Hot Springs,OR,Sinter,Qssi,Hinz_2018,Opaline Sinter terrace
452,-118.0057138,40.05568589,New York Canyon,NV,Argillic alteration, ,Faulds_2020, 
453,-118.0040778,40.05004332,New York Canyon kaolin deposit,NV,Sinter,Qssi,Papke_1977; Stewart&Carlson_1974, 
454,-114.0712663,41.92979585,Nile Spring (Goose Creek),NV,Travertine,Qt,Mariner et al_1974; Waring_1965, 
455,-114.9907025,41.1818513,North Wells Hot Spring,NV,Travertine,Qt,Ayling_2018; USGS travertine report_1979, 
456,-113.8624246,42.17527605,Oakley Warm Spring,ID,Travertine,Near contact with alluvial-fan deposits (Quaternary) and Windermere Supergroup (Cambrian and Neoproterozoic),"Feth and Barnes, 1979",Mapped IGS and IDWR spring. Digitized vicinity around the mapped spring location based on review of Google Earth imagery and topographic map.
457,-118.736393,44.371489,Overholt Creek,OR,Travertine,Qt,"Feth and Barnes, 1979; Barnes,1978, field observ.; O'Neil and Barnes, 1971","Location not field validated. Grant, Sec. 10, T. 14 S., R. 33 E., Active, Streambed travertine armors bed of Overholt Creek"
458,-119.015758,39.591166,Patua,NV,Explosion craters, ,"Faulds, 2021",Located using Google Earth (after initial field observation). Could be explosion craters or extinct mud-pots.
459,-119.015427,39.590551,Patua,NV,Explosion craters, ,"Faulds, 2021",Located using Google Earth (after initial field observation). Could be explosion craters or extinct mud-pots.
460,-119.015502,39.589417,Patua,NV,Explosion craters, ,"Faulds, 2021",Located using Google Earth (after initial field observation). Could be explosion craters or extinct mud-pots.
461,-119.1151959,39.58683995,Patua,NV,Silica-cemented sand,Qss,Hinz and Ayling_2019, 
462,-118.7891813,41.36239202,Pinto Hot Springs,NV,Travertine,Qt,Mariner et al_1974; Hose&Taylor_1974; Wilden_1964;Olson_1985, 
463,-118.7889418,41.36255661,Pinto Hot Springs,NV,Sinter,Qssi,Faulds_2020; Hose and Taylor_1974,Mainly opaline sinter with lesser tufa; boiling hot springs
464,-118.7889418,41.36255661,Pinto Hot Springs,NV,Tufa,Qtm,Faulds_2020,Mainly opaline sinter with lesser tufa; boiling hot springs
465,-116.6401254,39.0797089,Potts Ranch Hot Springs,NV,Travertine,Qt,Faulds_2020,Some travertine but no sinter; temp 47.1C
466,-116.6410485,39.08019703,Potts Ranch Hot Springs,NV,Travertine,Qt,Fiero_1968;Stewart and Carlson_1974, 
467,-119.6873109,40.14126215,Pyramid Lake,NV,Tufa,Qtm,"Ayling, 2022",Located using Google Earth imagery; not field-validated
468,-119.6785306,40.14533564,Pyramid Lake,NV,Tufa,Qtm,"Ayling, 2022",Located using Google Earth imagery; not field-validated
469,-119.5359507,39.9047128,Pyramid Lake,NV,Tufa,Qtm,"Ayling, 2022",Located using Google Earth imagery; not field-validated
470,-119.5495977,39.91157167,Pyramid Lake,NV,Tufa,Qtm,"Ayling, 2022",Located using Google Earth imagery; not field-validated
471,-119.5777535,39.92790593,Pyramid Lake,NV,Tufa,Qtm,"Ayling, 2022",Located using Google Earth imagery; not field-validated
472,-119.5884586,39.92950112,Pyramid Lake,NV,Tufa,Qtm,"Ayling, 2022",Located using Google Earth imagery; not field-validated
473,-119.5860438,39.92892946,Pyramid Lake,NV,Tufa,Qtm,"Ayling, 2022",Located using Google Earth imagery; not field-validated
474,-119.5938118,39.93865739,Pyramid Lake,NV,Tufa,Qtm,"Ayling, 2022",Located using Google Earth imagery; not field-validated
475,-119.601479,39.95377274,Pyramid Lake,NV,Tufa,Qtm,"Ayling, 2022",Located using Google Earth imagery; not field-validated
476,-119.6097051,39.95745814,Pyramid Lake,NV,Tufa,Qtm,"Ayling, 2022",Located using Google Earth imagery; not field-validated
477,-119.6203959,39.97474721,Pyramid Lake,NV,Tufa,Qtm,"Ayling, 2022",Located using Google Earth imagery; not field-validated
478,-119.6321678,40.00761594,Pyramid Lake,NV,Tufa,Qtm,"Ayling, 2022",Located using Google Earth imagery; not field-validated
479,-119.631188,40.01572615,Pyramid Lake,NV,Tufa,Qtm,"Ayling, 2022",Located using Google Earth imagery; not field-validated
480,-119.6474943,40.02914547,Pyramid Lake,NV,Tufa,Qtm,"Ayling, 2022",Located using Google Earth imagery; not field-validated
481,-119.6495789,40.03062973,Pyramid Lake,NV,Tufa,Qtm,"Ayling, 2022",Located using Google Earth imagery; not field-validated
482,-119.6577743,40.03895422,Pyramid Lake,NV,Tufa,Qtm,"Ayling, 2022",Located using Google Earth imagery; not field-validated
483,-119.6898067,40.09072844,Pyramid Lake,NV,Tufa,Qtm,"Ayling, 2022",Located using Google Earth imagery; not field-validated
484,-119.6895908,40.08990889,Pyramid Lake,NV,Tufa,Qtm,"Ayling, 2022",Located using Google Earth imagery; not field-validated
485,-119.7181115,40.11277798,Pyramid Lake,NV,Tufa,Qtm,"Ayling, 2022",Located using Google Earth imagery; not field-validated
486,-119.5028491,39.98016079,Pyramid Rock Boiling Springs,NV,Tufa,Qtm,Coolbaugh_2018, 
487,-112.0985468,38.63955733,Red Hill Hot Springs,UT,Alteration, ,Faulds_2020,Significant alteration with travertine; spring-75.4C
488,-112.0985468,38.63955733,Red Hill Hot Springs,UT,Travertine,Qst,"Lehi F. Hintze, 2008, Geologic map of the Richfield 30' x 60' quadrangle, southeast Millard County and parts of Beaver, Piute, and Sevier Counties, Utah. M-195dm. UGS. 1:100,000 scale.",Travertine mound associated with active hot spring
489,-119.073485,37.618869,Reds Meadows Hot Springs,CA,Travertine,Qt,"Feth and Barnes, 1979; Waring, 1915","Location not field validated. Madera, Sec. 10, T. 4 S., R. 26 E. (proj.), Active, Springs have formed small deposit of travertine"
490,-117.1959636,39.50315706,Reese River/west of Austin,NV,Silica-cemented sand,Qss,Coolbaugh_June2020, 
491,-118.037366,38.29368007,Rhodes Marsh,NV,Silica-cemented sand,Qss,Faulds_2020,Opaline sands
492,-118.0369222,38.2912816,Rhodes Marsh,NV,Silica-cemented sand,Qss,"Coolbaugh, 2022-Mar-26, mapped by Coolbaugh in 2006",Mapped by Coolbaugh in 2004
493,-118.0364927,38.29541287,Rhodes Marsh,NV,Silica-cemented sand,Qss,"Coolbaugh, 2022-Mar-26, mapped by Coolbaugh in 2006",Mapped by Coolbaugh in 2005
494,-118.0363433,38.29738464,Rhodes Marsh,NV,Silica-cemented sand,Qss,"Coolbaugh, 2022-Mar-26, mapped by Coolbaugh in 2006",Mapped by Coolbaugh in 2006
495,-118.0377221,38.29360774,Rhodes Marsh,NV,Silica-cemented sand,Qss,Ayling_2019, 
496,-119.142806,44.892754,Ritter Hot Spring,OR,Travertine,Qt,"Feth and Barnes, 1979; Hewett et al., 1928","Location not field validated. Grant, Sec. 6, T. 8 S., R. 30 E., Active, Thin film of CaCO3 is associated with zeolites and calcite"
497,-118.370358,38.144929,Rock House Spring,NV,Travertine,Qt,Coolbaugh_June2020,Thermal springs up to 35 deg C
498,-118.374093,38.143249,Rock House Spring,NV,Travertine,Qt,Coolbaugh_June2020,Thermal springs up to 35 deg C
499,-112.86951,38.46832627,Roosevelt Hot Spring,UT,Sinter,Qssi,Ayling_2021,Large opal sinter ridge aligned with the Opal Mound fault zone.
500,-112.8691912,38.4695691,Roosevelt Hot Spring,UT,Sinter,Qssi,Faulds_2020,"Sinter vein and sinter mound; vein-N22E, 90"
501,-112.8720921,38.46355842,Roosevelt Hot Spring,UT,Sinter,Qs,"Knudsen, T., Kleber, E., Hiscock, A., and Kirby, S.M., 2019, Quaternary geology of the Utah FORGE site and vicinity,  Millard and Beaver Counties, Utah, in Allis, R., and Moore, J.N., editors, Geothermal characteristics of the Roosevelt Hot Springs syste",Large opal sinter ridge aligned with the Opal Mound fault zone
502,-112.8530949,38.49861177,Roosevelt Hot Spring,UT,Alteration, ,"Coolbaugh, 2022-Mar-26",Active steam area with argillic alteration
503,-115.2858581,40.58700463,Ruby Valley-Sulfur Hot Spring,NV,Sinter,Qssi,Faulds_2020,"Opaline sinter common, 90.5C max temp"
504,-118.268028,40.526938,Rye Patch,NV,Explosion craters, ,"Coolbaugh, 2022", 
505,-118.5884653,39.31018405,Salt Wells,NV,Silica-cemented sand,Qss,"Coolbaugh, 2022-Mar-26, mapped by Coolbaugh in 2004",Mapped by Coolbaugh in 1990
506,-118.5957967,39.30828587,Salt Wells,NV,Silica-cemented sand,Qss,"Coolbaugh, 2022-Mar-26, mapped by Coolbaugh in 2004",Mapped by Coolbaugh in 1991
507,-118.5866065,39.30950853,Salt Wells,NV,Silica-cemented sand,Qss,"Coolbaugh, 2022-Mar-26, mapped by Coolbaugh in 2004",Mapped by Coolbaugh in 1992
508,-118.5794522,39.29138313,Salt Wells,NV,Silica-cemented sand,Qss,"Coolbaugh, 2022-Mar-26, mapped by Coolbaugh in 2004",Mapped by Coolbaugh in 1993
509,-118.5689063,39.28625394,Salt Wells,NV,Silica-cemented sand,Qss,"Coolbaugh, 2022-Mar-26, mapped by Coolbaugh in 2004",Mapped by Coolbaugh in 1994
510,-118.572208,39.29361429,Salt Wells,NV,Silica-cemented sand,Qss,"Coolbaugh, 2022-Mar-26, mapped by Coolbaugh in 2004",Mapped by Coolbaugh in 1995
511,-118.5721544,39.29998383,Salt Wells,NV,Silica-cemented sand,Qss,"Coolbaugh, 2022-Mar-26, mapped by Coolbaugh in 2004",Mapped by Coolbaugh in 1996
512,-118.5785664,39.30257865,Salt Wells,NV,Silica-cemented sand,Qss,"Coolbaugh, 2022-Mar-26, mapped by Coolbaugh in 2004",Mapped by Coolbaugh in 1997
513,-118.5826358,39.30563161,Salt Wells,NV,Silica-cemented sand,Qss,"Coolbaugh, 2022-Mar-26, mapped by Coolbaugh in 2004",Mapped by Coolbaugh in 1998
514,-118.5753393,39.31258696,Salt Wells,NV,Silica-cemented sand,Qss,"Coolbaugh, 2022-Mar-26, mapped by Coolbaugh in 2004",Mapped by Coolbaugh in 1999
515,-118.5903748,39.31655723,Salt Wells,NV,Silica-cemented sand,Qss,"Coolbaugh, 2022-Mar-26, mapped by Coolbaugh in 2004",Mapped by Coolbaugh in 2000
516,-118.5870854,39.31855238,Salt Wells,NV,Silica-cemented sand,Qss,"Coolbaugh, 2022-Mar-26, mapped by Coolbaugh in 2004",Mapped by Coolbaugh in 2001
517,-118.5875974,39.3221107,Salt Wells,NV,Silica-cemented sand,Qss,"Coolbaugh, 2022-Mar-26, mapped by Coolbaugh in 2004",Mapped by Coolbaugh in 2002
518,-118.5864545,39.32709332,Salt Wells,NV,Silica-cemented sand,Qss,"Coolbaugh, 2022-Mar-26, mapped by Coolbaugh in 2004",Mapped by Coolbaugh in 2003
519,-118.5823826,39.3500946,Salt Wells,NV,Silica-cemented sand,Qss,"Coolbaugh, 2022-Mar-26, mapped by Coolbaugh in 2004",Mapped by Coolbaugh in 2004
520,-118.5761195,39.30397369,Salt Wells,NV,Silica-cemented sand,Qss,Hoover et al_1977;Morrison_1964;Trexler et al_1981;Coolbaugh et al_2004;Edmiston&Benoit_1984;Stearns et al_1937;Russel_1985;Bell_1984, 
521,-118.5660778,39.40630325,Salt Wells north,NV,Silica-cemented sand,Qss,Coolbaugh_June2020, 
522,-118.5775143,39.38231703,Salt Wells north,NV,Silica-cemented sand,Qss,Coolbaugh_June2020, 
523,-118.5765842,39.3581513,"Salt Wells playa, north of plant",NV,Silica-cemented sand,Qss,Coolbaugh_June2020, 
524,-119.4025231,40.39287077,San Emidio,NV,Alteration, ,"Coolbaugh, 2022-Mar-26",Advanced argillic alteration
525,-119.4001275,40.40306367,San Emidio,NV,Alteration, ,"Coolbaugh, 2022-Mar-26",Advanced argillic alteration
526,-119.4003351,40.40756741,San Emidio,NV,Alteration, ,"Coolbaugh, 2022-Mar-26",Advanced argillic alteration
527,-119.4023011,40.39331165,San Emidio,NV,Sulfur, ,"Coolbaugh, 2022-Mar-26",Sulfur with advanced argillic alteration
528,-119.4024088,40.39374866,San Emidio,NV,Silica-cemented sand,Qss,Ayling_2019, 
529,-119.4001387,40.40353895,San Emidio,NV,Silica-cemented sand,Qss,Ayling_2019, 
530,-117.8294006,41.37310226,Sand Spring,NV,Travertine,Qt,Rhodes_2021,Travertine dominated with some silica.
531,-120.255765,40.357397,Shafter (Wendel) Hot Springs,CA,Travertine,Qt,"Feth and Barnes, 1979; Russell,1885; Stearns et al.,1937","Location not field validated. Lassen, Sec. 23, T. 29 N., R. 15 E., Active, Travertine crags 50 ft. high occur. Russell (1885) reported discharge as 2,840 L/s. Stearns and others (1937) reported 16 L/s. in October 1957 one of us (J.H.F.) measured temperat"
532,-116.6270518,41.05289562,Silver Cloud mine,NV,Sinter,Qssi,Rhodes_2021,Sheep Creek geothermal prospect;  mapped as opalite
533,-117.632387,37.77341455,Silver Peak - north,NV,Travertine,Qt,Faulds_2020,"Travertine mound, fissures, and steam vents"
534,-117.633647,37.761559,Silver Peak Hot Springs,NV,Sinter,Qssi,Henkle et al_2005, Mixed travertine and sinter terrace juxtaposed against Cambrian bedrock along Silver Peak fault zone.
535,-115.4081064,40.25228462,Smith Creek Valley (Smith Ranch?),NV,Travertine,Qt,Mariner et al_1974; Waring_1965; Everett&Rush_1964, 
536,-119.8220162,40.3174572,Smoke Creek Desert,NV,Tufa,Qtm,Faulds_2020,"Tufa towers in right step in normal fault zone, Bonham Ranch area"
537,-119.8062639,40.55724996,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,BAyling visited in June2020.
538,-119.8009149,40.56175553,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
539,-119.7985206,40.56842683,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
540,-119.7989722,40.56761059,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
541,-119.7989886,40.56706101,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
542,-119.7987655,40.56950968,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
543,-119.7981887,40.57174614,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
544,-119.7980308,40.57275826,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
545,-119.7960773,40.57556608,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
546,-119.7972799,40.57403158,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
547,-119.7931825,40.57378671,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
548,-119.7936232,40.57145775,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
549,-119.7935144,40.57279636,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
550,-119.7977479,40.57371053,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
551,-119.8116455,40.57092992,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
552,-119.8110524,40.56928658,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
553,-119.8091533,40.56384507,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
554,-119.8125107,40.56291457,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
555,-119.812255,40.56345872,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
556,-119.8125325,40.56143448,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
557,-119.7965616,40.55675478,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
558,-119.7954897,40.55992718,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
559,-119.7968065,40.5741785,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
560,-119.796012,40.57625716,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
561,-119.7863915,40.58252578,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
562,-119.7883722,40.58175853,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
563,-119.7887585,40.57942413,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
564,-119.7889544,40.58174765,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
565,-119.7902005,40.58397867,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
566,-119.7882035,40.5849799,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
567,-119.782479,40.58996433,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
568,-119.7847427,40.58771154,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
569,-119.7841115,40.58858763,Smoke Creek Desert (west),NV,Tufa,Qtm,Ayling_2020,Located using Google Earth imagery; not field-validated
570,-118.8549327,39.56398337,Soda Lake,NV,Silica-cemented sand,Qss,Hinz, 
571,-119.366634,37.878616,Soda Spring,CA,Travertine,Qt,"Feth and Barnes, 1979; Waring, 1915","Tuolumne, Sec. 5, T. 1 S., R. 24 E., Active, Springs emerge from low mound of iron-stained travertine"
572,-111.6051756,42.65733554,Soda Springs Geyser,ID,Travertine,Basalt (Pleistocene and Pliocene),"Ralston and Mayo, 1983
Young and Mitchell, 1973",Clear travertine based on aerial photo review.
573,-111.6088399,42.73656178,Soda Springs_T8SR42ESec7,ID,Tufa,Alluvial deposits (Quaternary),"Ross, 1971",Unclear tufa ? deposits from aerial imagery.
574,-111.5041945,42.6460281,Soda Springs_T9SR42ESec12,ID,Travertine,"Sedimentary rocks (Permian and Pennsylvanian)
Sedimentary rocks associated with Basin and Range extension (Quaternary, Pliocene, and Miocene)","Feth and Barnes, 1979","Travertine unclear in aerial photography in Sec 12. Digitized areas in Sec 13 and Sec 14, but unclear if travertine. Mapped as ""Sulphur Spring"" in Google Earth. Not included in IGS thermal spring database."
575,-111.4990454,42.64253768,Soda Springs_T9SR42ESec13,ID,Travertine?,-,-,-
576,-116.1039979,35.14071299,Sodaville (Soda) Spring,CA,Travertine,Qt,White_1955; Garside_1955; Kerr_1946; Roberts_1955, 
577,-117.7259973,40.08733325,"Sou (Seven Devils, Gilbert's) Hot Springs",NV,Travertine,Qt,Faulds_2020; Hague and Emmons_1877,Several travertine mounds; 10-15 m high
578,-117.9497269,40.84596205,South Big Alkali,NV,Travertine,Qt,Rhodes_2021,Sheeted calcite along fault zone.
579,-120.962903,40.033127,Spanish Creek,CA,Travertine,Qt,"Feth and Barnes, 1979; Waring,1915","Location not field validated. Plumas, Sec. 15, T. 25N., R. 9 E., Active, Travertine covers slope about 120 m long below springs and forms bluff 100 m long beside Spanish Creek"
580,-116.8557725,39.32742439,Spencer Hot Springs,NV,Travertine,Qt,Meinzer_1917, 
581,-116.8558282,39.32719144,Spencer Hot Springs,NV,Travertine,Qt,Faulds_2020,Only travertine observed; temp 70.7C
582,-118.8520293,38.24924872,Spring Peak epithermal,NV,Sinter,Qssi,Coolbaugh_June2020,"Sinter, geyserite ""Spring Peak"" epithermal prospect"
583,-111.9287327,42.11882484,Squaw Hot (Vincent) Springs #2,ID,Travertine,Alluvial deposits (Quaternary) and,"Young and Mitchell, 1973","Mapped IGS and IDWR spring 'Squaw Hot (Vincent) Springs #2"". Digitized travertine ? in vincinity of springs based on Google Earth imagery review."
584,-119.754162,39.38817808,Steamboat Hot Springs,NV,Travertine,Qt,White_1968;Mariner et al_1974, 
585,-119.7613301,39.38082852,Steamboat Hot Springs,NV,Alteration, ,"Coolbaugh, 2022-Mar-26","Advanced argillic alteration includes alunite, kaolinite, and residual silica"
586,-119.7606789,39.38649134,Steamboat Hot Springs,NV,Alteration, ,"Coolbaugh, 2022-Mar-26","Advanced argillic alteration includes alunite, kaolinite, and residual silica"
587,-119.7617252,39.38691522,Steamboat Hot Springs,NV,Alteration, ,"Coolbaugh, 2022-Mar-26","Advanced argillic alteration includes alunite, kaolinite, and residual silica"
588,-119.7639733,39.38669763,Steamboat Hot Springs,NV,Alteration, ,"Coolbaugh, 2022-Mar-26","Advanced argillic alteration includes alunite, kaolinite, and residual silica"
