FID,Long_deg_NAD83,Lat_deg_NAD83,Location,State,Deposit_type,Map_unit,Ref_source,Comments
127,-119.0124951,41.00207212,Casey Springs,NV,Silica-cemented sand,Qss,Ayling_2020, 
128,-119.0135048,41.00299824,Casey Springs,NV,Travertine,Qt,Ayling_2020,Large travertine terrace
129,-119.881395,42.212633,Charles Crump's Spring,OR,Tufa,Qtm,"Waring,1965; Trauger,1950","Location not field validated. H2S smell, Cattle water supply, no. on figure 49C"
130,-115.7913032,38.46330633,Chimney Hot Springs,NV,Travertine,Qt,Fiero_1968;Reed et al_1983,"Large travertine mound with several active springs, and some fossil mounds."
131,-115.7937151,38.47117332,Chimney Hot Springs north,NV,Travertine,Qt,Ayling_2020,Travertine mound north of the main Chimney Sp; one active spring vent still present. Might include sinter as well.
132,-111.7156103,42.33170621,Cleveland Hot Springs,ID,Travertine,Lake Bonneville deposits (Pleistocene),"Ralston and Mayo, 1983","IGS and IDWR mapped springs in vicinity, including 'Cleveland Hot Springs #1'. Digitized vicinity around spring."
133,-118.3547599,40.25480909,Colado,NV,Travertine,Qt,Rhodes_2021,Sheeted calcite on fault zone; like San Emido and Tungsten. Some silica present also.
134,-119.5960427,38.30279869,Cold CO2 spring,CA,Travertine,Qt,Faulds_2020,Travertine and cold bubbling CO2 spring
135,-117.8940783,39.98539208,Cottonwood Canyon travertine deposit,NV,Travertine,Qt,Goff et al_2002; Blackwell et al_2006;  Dixon et al_2003, 
136,-112.580465,38.55922444,Cove Fort/Sulphurdale,UT,Hydrothermally altered deposits, ,"Kirby, 2022",Large zone of active degassing and related alteration
137,-115.8663463,38.38860652,Coyote Hole Spring,NV,Travertine,Qt,Fiero_1968, 
138,-115.8633674,38.38183619,Coyote south,NV,Travertine,Qt,Ayling_2020, 
139,-116.5068699,40.41764559,Crescent Valley,NV,Silicified fault breccia, ,Faulds_2020, 
140,-116.4261331,40.31852923,Crescent Valley,NV,Sinter,Qssi,Faulds_2020,"Massive, 20 m wide E-W-striking chalcedonic silica vein"
141,-116.519496,40.39418498,Crescent Valley,NV,Sulfate crust, ,Faulds_2020, 
142,-116.5172535,40.40129285,Crescent Valley,NV,Sulfur, ,Faulds_2020, 
143,-116.4340513,40.31606367,"Crescent Valley, Hand-Me-Down (Dann) Hot Spring",NV,Sinter,Qssi,Faulds_2020,Opaline sinter uphill from Hand-Me-Down Hot Spring
144,-116.4300283,40.3171971,"Crescent Valley, Hand-Me-Down (Dann) Hot Spring",NV,Sinter,Qssi,Faulds_2020,Silica sinter (but not opaline) on surface of alluvial fan north of hot springs
145,-116.5068825,40.41765122,"Crescent Valley, Hot Springs Point",NV,Travertine,Qt,Faulds_2020,"Silicified fault breccia, travertine, and hot spring"
146,-119.881365,42.212807,Crump,OR,Travertine,Qt,"Feth and Barnes, 1979; Bowen and Peterson,1970; Trauger, 1950","Location not field validated. Lake, Sec. 3, T. 39 S., R. 24 E., Active, Siliceous travertine covers broad areas: many extinct spring orifices are present"
147,-119.878806,42.234368,Crump,OR,Travertine,Qt,"Feth and Barnes, 1979; Bowen and Peterson,1970; Trauger, 1950","Location not field validated. Lake, Sec. 34, T. 38 S., R. 24 E., Active, Three springs deposit travertine over lake terraces"
148,-119.880055,42.21534831,Crump,OR,Sinter,Qssi,Faulds_2020,Sinter forms small mound 4-5 m in diameter; sinter appears to be elongated to NW
149,-119.877945,42.239359,Crump,OR,Travertine,Qt,"Feth and Barnes, 1979; Trauger,1950","Location not field validated. Lake, Sec. 27, T. 38 S., R. 24 E., Active, Spring issues from travertine-covered terrace"
150,-111.9111549,40.48672865,Crystal Hot Springs,UT,Travertine,Qst,"Blackett, R.E., and Wakefield, S., 2004, Geothermal resources of Utah – 2004 – a digital atlas of Utah’s geothermal resources:  Utah Geological Survey Open-File Report 431, CD.",Travertine aprons and travertine cemented alluvial and lacustrine deposits
151,-117.1815114,38.8172893,Darrough's Hot Springs (N Big Smoky Valley),NV,Sinter,Qssi,Mariner et al_1974, 
152,-117.1815114,38.8172893,Darrough's Hot Springs (N Big Smoky Valley),NV,Travertine,Qt, , 
153,-118.9751804,39.73904921,Desert Peak,NV,Silica-cemented sand,Qss,Garside and Schilling_1979, 
154,-118.9751804,39.73904921,Desert Peak,NV,Travertine,Qt,NBMG_2010, 
155,-118.9675207,39.74773595,"Desert Peak, south-west",NV,Sinter, ,"Coolbaugh, 2022-Mar-26, originally documented by Benoit et al, Kratt et al", 
156,-118.9720445,39.74562328,"Desert Peak, south-west",NV,Sinter, ,"Coolbaugh, 2022-Mar-26, originally documented by Benoit et al, Kratt et al", 
157,-118.9757572,39.73930706,"Desert Peak, south-west",NV,Sinter, ,"Coolbaugh, 2022-Mar-26, originally documented by Benoit et al, Kratt et al", 
158,-118.890601,39.842012,Desert Queen,NV,Tufa,Qtm,"Ayling, 2022",Located using Google Earth - not field-validated
